id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
kucoin-token,49,KCS,KuCoin Token,95471705.2885607500000000,170118638.0000000000000000,709847576.9106211429303971,628913.0008239563844027,7.4351618080469525,-1.7843718089568302,7.6033938266234673,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
eos,50,EOS,EOS,1505370878.3773000000000000,,671137573.6692731177131502,43854387.2427348232926026,0.4458287212203277,-3.6527684868132376,0.4610744538854651,https://bloks.io/
axie-infinity,51,AXS,Axie Infinity,148366229.1714145200000000,,650804071.3690425551680608,15491554.2320910801953066,4.3864703915682715,-2.6642827525033932,4.5449342253839273,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
tezos,52,XTZ,Tezos,993103244.2402550000000000,,646460750.7426320796034170,18713307.2200595620804880,0.6509501952510368,0.7326928344517077,0.6579919988120528,https://tzkt.io/
elrond-egld,53,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,638045662.2664657260273806,14539286.7472852625059190,26.3823564968870650,-1.3178072309230867,27.0193285183196586,https://explorer.elrond.com/
neo,54,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,627295663.8596449488736720,9629883.6714377841858432,8.8929126690467120,-0.6915651874865547,9.0412071083415252,https://neotracker.io
gatetoken,55,GT,GateToken,93256870.0559026300000000,,616921007.2878443968843565,2084173.8379803705197291,6.6152875055535579,-0.9422817323105247,6.7342938875872206,
ecash,56,XEC,eCash,19739726548091.0000000000000000,21000000000000.0000000000000000,586880728.0313499123457262,7252949.8975488790532491,0.0000297309451882,-1.0436734540373607,0.0000301642837401,https://explorer.bitcoinabc.org/
akash-network,57,AKT,Akash Network,247442568.2666200000000000,388539008.0000000000000000,584875272.1334992512651280,2472451.8846282624763862,2.3636808986855271,-3.2838990262965390,2.4823903565766945,https://akash.bigdipper.live/
gala,58,GALA,Gala,33321953051.5736300000000000,,551583905.4116161343072169,30707415.7604369218408936,0.0165531685540133,-1.9401190050444030,0.0171148474021267,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
the-sandbox,59,SAND,The Sandbox,2284231926.2233224000000000,,548166109.7515057772265367,16403942.0707737269833690,0.2399783066940258,-2.6352427649673320,0.2481938019324633,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
nexo,60,NEXO,Nexo,560000011.0000000000000000,,546783437.0352142267912151,948136.2585142410008310,0.9763989755264741,-1.7695482440273555,1.0279239294640816,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
